Latitude,Longitude,Change in first bloom date
38.71,-112.95,-6.75
37.61,-109.48,-13.875
40.62,-111.78,-4.557142857
40.4,-111.53,-5.525
39.29,-112.65,-5.35
40.17,-110.4,-10.97222222
40.97,-111.43,-8.6
40.36,-109.35,-4.366666667
37.03,-112.54,-10.85
41.83,-111.32,-1.35
39.56,-111.87,-5.142857143
41.75,-111.8,-2.075
39.26,-111.63,-5.525
39.71,-111.83,-0.95
39.37,-112.33,-1.625
39.63,-113.89,-6.638888889
41.26,-111.84,2.285714286
41.91,-111.81,-3.4
40.29,-109.96,-3.555555556
39.96,-111.78,-3.675
40.6,-111.58,-4.2
40.08,-111.6,-7.194444444
40.54,-112.32,-7.9
40.44,-109.54,-3.611111111
41.51,-111.16,-5.063492063
37.21,-112.98,-4.475
44.95,-72.19,-0.517857143
43.63,-72.98,6.3
44.42,-72.02,-1.525
37.2,-80.41,-4.5
37.09,-81.34,0.46031746
38.03,-78.52,-4.825
36.82,-79.41,-0.1
38.45,-78.94,-1.95
38,-79.83,-1.15
36.6,-78.3,-9.26984127
37.78,-79.44,2.275
39.14,-77.71,2.828571429
38.04,-78.01,-5.375
38.23,-78.12,-2.028571429
36.73,-76.6,-8.775
37.74,-77.04,-8.325
37.99,-76.78,-5.3
37.3,-76.7,-6.388888889
36.94,-81.06,-1.555555556
48.99,-122.76,-18.11111111
47.41,-121.76,-1.8
46.72,-122.95,-1.128571429
48.27,-117.74,-4.185714286
48.97,-122.33,-12.3
48.54,-121.74,2.125
47.66,-118.16,2.791666667
46.32,-118,1.3
48.71,-121.14,-4.736111111
47.01,-123.4,-13.125
47.96,-124.35,-16.25
46.82,-117.88,-2.566666667
47,-118.57,-8.925
47.14,-121.94,-13.7
48.9,-117.83,2.041666667
47.33,-118.7,-0.35
47.31,-121.86,-17.81428571
46.76,-117.19,-8.722222222
48.65,-118.74,-5.777777778
46.31,-119.26,6.042857143
47.12,-118.37,-0.625
47.23,-117.36,-5.55
45.68,-122.65,9.847222222
47.43,-120.31,-5.972222222
47.77,-118.72,2.325
48.47,-120.19,-5.958333333
39.27,-79.37,2.4
37.76,-81.19,3.725
38.98,-80.22,-2.5
39.27,-80.35,-5.985714286
39.46,-80.14,-10.75
38.93,-80.83,-0.575
38.68,-82.18,-9.571428571
38.19,-81.37,-8.375
38.1,-81.85,-8.125
39.47,-80.86,-2.875
39.62,-79.97,1.828571429
38.82,-81.71,-6.5
38.8,-81.36,1.589285714
37.79,-80.31,1.75
38.53,-81.92,-12.44444444
44.33,-91.92,1.25
45.3,-92.36,3.25
44.28,-88.44,2.6
43.46,-89.73,-0.4
45.09,-91.49,3.5
42.62,-89.39,1.9
44.03,-88.15,4.025
44.62,-88.75,0
45.53,-92.02,6.542857143
44.73,-92.46,7.236111111
43.8,-88.45,6.657142857
42.91,-88.86,2.7
43.57,-91.23,-1.5
43.24,-88.12,3.652777778
46.25,-91.8,4.910714286
44.12,-89.54,2.75
42.56,-87.82,2.325
42.83,-90.79,1.975
43.21,-91.1,0.425
44.09,-87.65,7.075
45.1,-87.62,8.8
44.64,-90.13,1.675
44.17,-90.35,0.2
45.13,-90.34,0.966666667
45.18,-89.66,3.5
45.89,-89.73,6.708333333
44.54,-90.54,1.9
44.89,-87.96,5.975
44.02,-88.56,-0.375
43.73,-87.97,5.125
43.53,-89.44,5.444444444
43.05,-91.14,3.15
42.7,-87.79,9.85
45.6,-89.45,7.152777778
45.42,-91.77,1.746031746
44.85,-92.61,4.375
44.75,-89.25,0.152777778
45.41,-92.65,1.555555556
44.76,-88.62,5.025
45.82,-91.88,3.075
44.51,-89.59,3.325
44.88,-87.34,2.847222222
44,-91.44,-1.555555556
44.14,-87.57,5.375
43.56,-90.88,4.069444444
45.36,-86.89,4.675
43.17,-88.74,5.65
44.35,-89.06,4.319444444
42.85,-88.72,4.736111111
43.61,-89.76,1.85
43.77,-111.03,-3.396825397
44.38,-108.04,-8.8
44.1,-105.12,-1.888888889
44.27,-105.45,-6.291666667
43.49,-110.76,2.55
43.71,-106.64,2.475
44.84,-108.4,-3.388888889
43.86,-110.59,-1.925
43.85,-104.19,0.553571429
43.25,-104.29,-9.4
44.84,-106.84,-4.365079365
